Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
Jakarta Futures Exchange (bursa Berjangka Jakarta),BBJ,XBBJ,Indonesia,Indonesian Rupiah,Asia/Jakarta, 09:00, 17:30
Asx - Trade24,SFE,XSFE,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Cboe Edga U.s. Equities Exchange Dark,EDGADARK,EDGD,United States,United States Dollar,America/New_York, 09:30, 16:00
Clear Street,CLST,CLST,United States,United States Dollar,America/New_York, 09:30, 16:00
Wall Street Access Nyc,WABR,WABR,United States,United States Dollar,America/New_York, 09:30, 16:00
Marex Spectron Europe Limited - Otf,MSEL OTF,MSEL,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Borsa Italiana Equity Mtf,BITEQMTF,MTAH,Italy,Euro,Europe/Rome, 09:00, 17:25
Clearcorp Dealing Systems India Limited - Astroid,ASTROID,ASTR,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Memx Llc Equities,MEMX,MEMX,United States,United States Dollar,America/New_York, 09:30, 16:00
Natixis - Systematic Internaliser,NATX,NATX,France,Euro,Europe/Paris, 09:00, 17:30
Currenex Ireland Mtf - Rfq,CNX MTF,ICXR,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Neo Exchange - Neo-l (market By Order),NEO-L,NEOE,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Polish Trading Point,PTP,PTPG,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Pfts Stock Exchange,PFTS,PFTS,Ukraine,Ukrainian Hryvnia,Europe/Kiev, 10:00, 17:30
Cboe Australia - Transferable Custody Receipt Market,CHI-X,CXAR,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
"Essex Radez, Llc",GLPS,GLPS,United States,United States Dollar,America/New_York, 09:30, 16:00
London Metal Exchange,LME,XLME,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Multi Commodity Exchange Of India Ltd.,MCX,XIMC,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Cassa Di Compensazione E Garanzia Spa - Ccp Agricultural Commodity Derivatives,CCGAGRIDER,CGGD,Italy,Euro,Europe/Rome, 09:00, 17:25
Toronto Stock Exchange - Drk,TSX DRK,XDRK,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Chicago Mercantile Exchange,CME,XCME,United States,United States Dollar,America/New_York, 09:30, 16:00
Neo Connect,NEO CONNECT,NEOC,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Ubs Ats,UBS ATS,UBSA,United States,United States Dollar,America/New_York, 09:30, 16:00
Athens Exchange - Apa,ATHEX APA,AAPA,Greece,Euro,Europe/Athens, 10:15, 17:20
Bny Mellon - Systematic Internaliser,BNYM,BKLF,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bank Of Montreal - London Branch - Systematic Internaliser,BMO,BMLB,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Financial Information Contributors Exchange,FICONEX,FICX,Germany,Euro,Europe/Berlin, 08:00, 20:00
Abn Amro Clearing Bank - Systematic Internaliser,AACB SI,ABNC,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Credit Industriel Et Commercial - Systematic Internaliser,CIC,CMCI,France,Euro,Europe/Paris, 09:00, 17:30
Posit Rfq,RFQ,XRFQ,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Aquis Exchange Plc,AQX,AQXE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Financial And Risk Transactions Services Ireland Limited - Fxall Rfs Mtf,FRTSIL,FXRS,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Berenberg Fixed Income Uk - Systematic Internaliser,BGFU,BGFU,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
National Bank Financial Inc. - Systematic Internaliser,NBF,NBFL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Jpbx,JPBX,JPBX,United States,United States Dollar,America/New_York, 09:30, 16:00
"Miax Pearl, Llc",MPRL,MPRL,United States,United States Dollar,America/New_York, 09:30, 16:00
Canadian Securities Exchange,CSE LISTED,XCNQ,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
"Two Sigma Securities, Llc",SOHO,SOHO,United States,United States Dollar,America/New_York, 09:30, 16:00
Currenex Ldfx,CX LDFX,LCUR,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
"Puma Capital, Llc - Options",PUMA,PUMX,United States,United States Dollar,America/New_York, 09:30, 16:00
Virtual Auction Global Markets - Mtf,VAGM MTF,VAGM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
"Miami International Holdings, Inc.",MIHI,MIHI,United States,United States Dollar,America/New_York, 09:30, 16:00
Cboe  Europe - Lis Service,CBOE  LIS,LISX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Global Securities Exchange,GSX,XGSX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Tw Sef Llc,TWSEF,TWSF,United States,United States Dollar,America/New_York, 09:30, 16:00
"Gtx Sef, Llc",GTX,GTXS,United States,United States Dollar,America/New_York, 09:30, 16:00
Freight Investor Services Limited,FIS,FISU,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Mercado De Valores De Buenos Aires S.a.,MERVAL,XMEV,Argentina,Argentine Peso,America/Argentina/Buenos_Aires, 11:00, 17:00
Electricity Day-ahead Market,EXIST,XEDA,Turkey,Turkish Lira,Asia/Istanbul, 09:00, 17:30
Emerging Markets Bond Exchange Limited,EMBX,EMBX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Six Swiss Bilateral Trading Platform For Structured Otc Products,SIX,XBTR,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Minneapolis Grain Exchange,MGE,XMGE,United States,United States Dollar,America/New_York, 09:30, 16:00
Svenska Handelsbanken Ab - Svex,SVEX,SVEX,Sweden,Swedish Krona,Europe/Oslo, 09:00, 16:30
Global Derivatives Exchange,GDX,XGDX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bnp Paribas Securities Services London Branch - Systematic Internaliser,BP2S LB SI,BSPL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe Equities - European Equities (nl),CBOE EUROPE B.V.,CCXE,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Bnp Paribas Sa - Systematic Internaliser,BNPP SA SI,BNPS,France,Euro,Europe/Paris, 09:00, 17:30
Tradegate Exchange - Systematic Internaliser,TGAG,TGSI,Germany,Euro,Europe/Berlin, 08:00, 20:00
Exane Bnp Paribas,EXEU,EXEU,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Liquidnet H20,LQNT H20,LIQH,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
New York Portfolio Clearing,NYPC,NYPC,United States,United States Dollar,America/New_York, 09:30, 16:00
Gemma (gilt Edged Market Makersâ€™association),GEMMA,GEMX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Hudson River Trading (hrt),HRT,HRTF,United States,United States Dollar,America/New_York, 09:30, 16:00
Santander Uk - Systematic Internaliser,SNUK,SNUK,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Aquis Exchange Plc Aquis - Eix Infrastructure Bond Market,AQUIS-EIX,EIXE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Henex S.a.,HENEX,HEMO,Greece,Euro,Europe/Athens, 10:15, 17:20
Jane Street Financial Ltd - Systematic Internaliser,JSF,JSSI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Securitised Derivatives Market,SEDEX,SEDX,Italy,Euro,Europe/Rome, 09:00, 17:25
Rivercross Dark,RIVERX,RICD,United States,United States Dollar,America/New_York, 09:30, 16:00
Bank Polska Kasa Opieki S.a. - Systematic Internaliser,PEKAO,PKOP,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Xtend,XTND,XTND,Hungary,Hungarian Forint,Europe/Budapest, 09:00, 17:00
The Green Stock Exchange - Acb Impact Markets,GSE,GRSE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Susquehanna International Securities Limited - Systematic Internaliser,SISI,SISI,Ireland,Euro,Europe/Dublin, 08:00, 16:30
"Banque Et Caisse D'epargne De L'etat, Luxembourg - Bcee - Systematic Internaliser",BCEE,BCEE,Luxembourg,Euro,Europe/Luxembourg, 09:00, 17:35
Merrill Lynch International - Rfq - Systematic Internaliser,MLI,MLRQ,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Westpac Banking Corporation - Systematic Internaliser,WBC SI,WSIN,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bulgarian Stock Exchange - Alternative Market,BSE,ABUL,Bulgaria,Bulgarian Lev,Europe/Sofia, 10:10, 16:55
Gfi Securities Llc - Creditmatch (latg),LATG,LATG,United States,United States Dollar,America/New_York, 09:30, 16:00
Italian Derivatives Market,IDEM,XDMI,Italy,Euro,Europe/Rome, 09:00, 17:25
Hudson River Trading,HRT,HRTX,United States,United States Dollar,America/New_York, 09:30, 16:00
Nex Sef Mtf - Reset - Risk Mitigation Services,NSL,REST,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Banque Internationale A Luxembourg S.a. - Systematic Internaliser,BIL,BILU,Luxembourg,Euro,Europe/Luxembourg, 09:00, 17:35
"Liquidnet, Inc.",LQNT,LIUS,United States,United States Dollar,America/New_York, 09:30, 16:00
Bnp Paribas Securities Services - Systematic Internaliser,BP2S,BPSX,France,Euro,Europe/Paris, 09:00, 17:30
Ice Endex European Gas Spot,ICE ENDEX SPOT,NDXS,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Memx Llc Dark,MEMXDARK,MEMD,United States,United States Dollar,America/New_York, 09:30, 16:00
Societe Generale - Systematic Internaliser,SG SI,XSGA,France,Euro,Europe/Paris, 09:00, 17:30
Level Ats - Vwap Cross,LEVEL,EBXV,United States,United States Dollar,America/New_York, 09:30, 16:00
"Wells Fargo Securities Europe, S.a.",WFSE,WFSE,France,Euro,Europe/Paris, 09:00, 17:30
Bnp Paribas Sa London Branch - Systematic Internaliser,BNPP SA LB SI,BNPL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Warsaw Stock Exchange/indices,GPWB,WIND,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Bank Of America - Merrill Lynch Instinct X Ats,MLIX,BAML,United States,United States Dollar,America/New_York, 09:30, 16:00
Cboe Europe - Regulated Market Dark Book,CBOE  REGM DARK,BARK,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Seed Cx,SEED CX,SCXO,United States,United States Dollar,America/New_York, 09:30, 16:00
Seb - Systematic Internaliser,SEB,SEBS,Sweden,Swedish Krona,Europe/Oslo, 09:00, 16:30
Credit Suisse (deutschland) Ag - Systematic Internaliser,CSD SI,CDSI,Germany,Euro,Europe/Berlin, 08:00, 20:00
Euronext Growth Milan,EGM,EXGM,Italy,Euro,Europe/Rome, 09:00, 17:25
Refinitiv Us Sef Llc,RSEF,THRE,United States,United States Dollar,America/New_York, 09:30, 16:00
Miami International Securities Exchange,XMIO,XMIO,United States,United States Dollar,America/New_York, 09:30, 16:00
Cassa Di Compensazione E Garanzia Spa - Collateralized Money Market Guarantee Service,NEWMIC,CGCM,Italy,Euro,Europe/Rome, 09:00, 17:25
Barclays Lx Japan,LXJP,LXJP,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
"International Securities Exchange, Llc -  Alternative Markets",ISE,XISA,United States,United States Dollar,America/New_York, 09:30, 16:00
Globalclear Mercantile Exchange,GMX,XGMX,United States,United States Dollar,America/New_York, 09:30, 16:00
Gestore Mercato Elettrico - Italian Power Exchange,IPEX/GME,XGME,Italy,Euro,Europe/Rome, 09:00, 17:25
Pko Bank Polski S.a. - Systematic Internaliser,PKO BP,BPKO,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Cboe Europe - Bxe Order Books,CBOE EUROPE,BATE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Candeal.ca Inc,CANDEAL,CAND,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Bulgarian Stock Exchange - Sme Growth Market Beam,BEAM,GBUL,Bulgaria,Bulgarian Lev,Europe/Sofia, 10:10, 16:55
Bendigo Stock Exchange Limited,BSX,NSXB,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Spot Regulated Market - Bvb,REGS,XBSE,Romania,Romanian Leu,Europe/Bucharest, 10:00, 17:45
Pro Securities Ats,PROS,BLUE,United States,United States Dollar,America/New_York, 09:30, 16:00
Stock Exchange Of Hong Kong Limited - Shanghai - Hong Kong Stock Connect,SEHK,SHSC,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Gtsx,GTSX,GTSX,United States,United States Dollar,America/New_York, 09:30, 16:00
London Stock Exchange - Aim Mtf,LSE,AIMX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Six Swiss Exchange - Six Swiss Exchange At Midpoint,SIX,XSWM,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Cboe Europe - Cxe Dark Order Book,CXE DARK,CHID,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Sigma X Europe Non-displayed Book,GSPIC,SGMU,France,Euro,Europe/Paris, 09:00, 17:30
Mizuho International - Systematic Internaliser,MHI,MHIP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Cxe Off-book,CXE OFF-BOOK,CHIO,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Sigma X2,SGMT,SGMT,United States,United States Dollar,America/New_York, 09:30, 16:00
Credit Suisse Ag - London Branch,CSAGLB SI,CSLB,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Apa (nl),CBOE EU OFF EXCHANGE,CAPA,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Cme  Europe,CME,CMEE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Continental Capital Markets Limited - Otf,CONTICAP OTF,CCML,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Tokyo Stock Exchange,TSE,XTKS,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Icbc Standard Bank - Systematic Internaliser,ICBCS,ISSI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Pjsc National Depository Of Ukraine,PJSC NDU,XNDU,Ukraine,Ukrainian Hryvnia,Europe/Kiev, 10:00, 17:30
State Street Bank International Fx - London Branch - Systematic Internaliser,SSIL,SSIL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Hpc Etrading,HPC,HPCO,France,Euro,Europe/Paris, 09:00, 17:30
Nos Clearing Asa,NOS,NOSC,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Barclays Single Dealer Platform,BBOK,BBOK,United States,United States Dollar,America/New_York, 09:30, 16:00
London Stock Exchange,LSE,XLON,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Morgan Stanley Europe S.e.,MSEU,MSEU,Germany,Euro,Europe/Berlin, 08:00, 20:00
Cboe C2 Options Exchange,C2OX,C2OX,United States,United States Dollar,America/New_York, 09:30, 16:00
Shanghai Gold Exchange,SGE,SGEX,China,Chinese Yuan,Asia/Shanghai, 09:30, 15:00
Posit Auction,AUCTIONS,XPAC,Ireland,Euro,Europe/Dublin, 08:00, 16:30
"Long-term Stock Exchange, Inc.",LTSE,LTSE,United States,United States Dollar,America/New_York, 09:30, 16:00
Liquidnet Europe Limited,LIQU,LIQF,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Crypto Facilities,CF,CRYP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Louis Capital Markets Uk Llp,LCM,LOUI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Abide Financial Drsp Limited Apa,AFDLAPA,AFDL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Mbank S.a. - Systematic Internaliser,MBANK,MBPL,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Mariana Ufp Llp,MUFP,MUFP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bse Ltd,MSE,XBOM,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Virtu Financial Bd,VEQ,VIRT,United States,United States Dollar,America/New_York, 09:30, 16:00
Posit Mtf,POSIT,ITGL,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Mufg Bank (europe) N.v. - Systematic Internaliser,MUBE SI,MUBE,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Deal Done Trading - Systematic Internaliser,DDT,DDTX,Italy,Euro,Europe/Rome, 09:00, 17:25
Six Swiss Exchange - Ebbo Book,SIX,XSEB,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
China Foreign Exchange Trade System,CFETS,XCFE,China,Chinese Yuan,Asia/Shanghai, 09:30, 15:00
Six Swiss Exchange - Deal Pool - Book Building And Announcement Platform,SIX,XDLP,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Cboe Europe - Regulated Market Off Book (nl),CBOE EU REGM OFF BOOK,BEUO,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Raiffeisen Centrobank Ag - Systematic Internaliser,RCB,XRCB,Austria,Euro,Europe/Vienna, 08:55, 17:35
Bank Of America Merrill Lynch International Bank Designated Activity Company - Systematic Internaliser,BAMLI DAC,BMLS,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Sydney Stock Exchange Limited,SSX,APXL,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
India International Exchange (ifsc) Limited,INDIA INX,IINX,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
"Clear Markets North America, Inc.",CM SEF,CMSF,United States,United States Dollar,America/New_York, 09:30, 16:00
Irish Stock Exchange - All Market,ISE,XDUB,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Blue Ocean Alternative Trading System,BOATS,OCEA,United States,United States Dollar,America/New_York, 09:30, 16:00
Lbbw - Landesbank Baden-wuerttemberg,LLBW,LBBW,Germany,Euro,Europe/Berlin, 08:00, 20:00
Electronic Share Market,MTA,MTAA,Italy,Euro,Europe/Rome, 09:00, 17:25
"Mufg Bank, Ltd. - London Branch -systematic Internaliser",MUBL SI,MUBL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Merrill Lynch International,MLI,MLIX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Off Exchange Identifier For Otc Trades Reported To Cboe Europe,CBOE OFF EXCHANGE,BOTC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Berenberg Fx - Systematic Internaliser,BGFX,BGFX,Germany,Euro,Europe/Berlin, 08:00, 20:00
Coda Markets - Micro And Block,CODA,CODA,United States,United States Dollar,America/New_York, 09:30, 16:00
Mitsubishi Ufj Trust International Limited,MUTI,MUTI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Irish Stock Exchange  - Global Exchange Market,ISE GEM,XEYE,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Scottish Stock Exchange,SSX,SCOT,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Jp Morgan - Jpmi Market,JPMI,JPMI,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Six Swiss Exchange - Etf Qod,SIX,XQOD,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Cboe Europe - Regulated Market Off Book,CBOE  REGM OFF BOOK,BARO,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Berenberg - Systematic Internaliser Uk,BGUK,BGUK,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
